Date,Open,High,Low,Close,Adj Close,Volume
2021-10-17,10.501043,11.533591,9.473890,11.001941,11.001941,7455632
2021-10-18,11.002298,11.289680,10.502222,10.516280,10.516280,7197222
2021-10-19,10.515989,11.106358,10.475101,11.057919,11.057919,8781612
2021-10-20,11.058029,11.615459,10.471426,11.429003,11.429003,8898313
2021-10-21,11.429291,12.783379,11.425470,12.296276,12.296276,23599461
2021-10-22,12.295946,13.097691,11.990948,12.136795,12.136795,20884902
2021-10-23,12.136639,12.585471,11.955918,12.325874,12.325874,11080441
2021-10-24,12.323067,12.559734,11.970960,12.263785,12.263785,10345678
2021-10-25,12.262599,13.752835,12.200523,13.218378,13.218378,17484474
2021-10-26,13.216094,13.729118,13.171212,13.356210,13.356210,19160700
2021-10-27,13.360036,13.651488,12.137727,12.281177,12.281177,18325308
2021-10-28,12.281844,12.947060,11.877969,12.702253,12.702253,15712763
2021-10-29,12.706076,13.449660,12.438193,12.875845,12.875845,4608366
2021-10-30,12.876126,13.128491,12.258993,12.527021,12.527021,8240183
2021-10-31,12.528005,12.835967,12.093917,12.536183,12.536183,15309280
2021-11-01,12.535078,13.048416,12.406983,12.793032,12.793032,15848250
2021-11-02,12.789218,13.802531,12.479129,13.572993,13.572993,18437731
2021-11-03,13.559253,15.197072,13.295135,14.463548,14.463548,30796007
2021-11-04,14.465557,16.549055,14.433427,15.485380,15.485380,27886692
2021-11-05,15.466639,16.663210,14.751955,14.905245,14.905245,14298332
2021-11-06,14.920912,17.052099,14.781571,16.867664,16.867664,20901742
2021-11-07,16.870295,19.697668,16.870295,18.628086,18.628086,28301416
2021-11-08,18.627218,20.296276,17.459826,18.370123,18.370123,32342945
2021-11-09,18.366676,20.037973,17.109337,17.458216,17.458216,17921982
2021-11-10,17.463160,17.603041,16.256657,16.481895,16.481895,28030570
2021-11-11,16.509804,17.094082,16.415936,16.481894,16.481894,15602137
2021-11-12,16.469435,16.533930,15.033374,15.233038,15.233038,21969056
2021-11-13,15.222989,15.594435,14.713033,15.576143,15.576143,15838511
